Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Libya,LBY,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,84.23207196,85.10204151,85.97201105,86.8419806,87.71195015,88.58191969,89.45188924,96.41164561,97.28161516,98.15158471
Libya,LBY,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Libya,LBY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.387,76.502,76.629,76.768,76.919,77.08,77.253,79.009,79.27,79.54
Libya,LBY,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,..,..,..,..,..,..
Libya,LBY,Population density (people per sq. km of land area),EN.POP.DNST,2.929623652,2.998463235,3.072010866,3.15005115,3.232414722,3.31790468,3.394846949,3.465544404,3.519235141,3.570362708
Libya,LBY,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.146863674,2.413507858,2.06923852,2.072048072,2.071074457,1.52811116,1.120335406,15.4795763,..,..
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.68,70.861,71.004,71.132,71.49,71.592,71.724,71.511,71.698,71.756
Madagascar,MDG,Access to electricity (% of population),EG.ELC.ACCS.ZS,12.72418976,14.80000019,14.04657555,20.29999924,15.34801865,15.99676132,16.64737511,22.23507309,23.00593376,22.89999962
Madagascar,MDG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.101996549,0.099884707,0.065183262,0.08764234,0.090162751,0.090976184,0.084602827,0.124323711,0.132173016,0.124763837
Madagascar,MDG,Forest area (% of land area),AG.LND.FRST.ZS,22.40717749,22.32658287,22.24598824,22.16539361,22.08479898,22.00420435,21.92360973,21.50070127,21.47798212,21.45527673
Madagascar,MDG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1230,1300,1120,1220,1290,1340,1410,1470,1450,1510
Madagascar,MDG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,33.8,35.2,36.5,35,33.4,31,37.6,40.2,41.6
Madagascar,MDG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,72.2,73.27,72.17,73.83,77.34,88.01,89.91,101.11,98.81,100.08
Madagascar,MDG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
Madagascar,MDG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.403,5.323,5.225,5.172,5.133,5.095,5.056,4.247,4.183,4.163
Madagascar,MDG,"School enrollment, primary (% net)",SE.PRM.NENR,66.15565,67.2899,68.00256,77.72212,..,..,..,..,..,..
Madagascar,MDG,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,17.29953,..,31.01487,30.28786,30.14792
Madagascar,MDG,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..,75.56,..,79.23,..,84.59,..,..,83.59,..
Madagascar,MDG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,8,8,..,3.75,6.875,6.875,6.875,20.52980132,20.52980132,20.52980132
Madagascar,MDG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,36.26696237,36.98295541,37.70075782,38.41987314,39.14075421,40.01323565,40.88944092,47.99556388,48.89177354,49.78933803
Madagascar,MDG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,1.39,..,17.72,..,9.08,..,..,1.14,..
Madagascar,MDG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.121,27.391,27.663,27.936,28.211,28.814,29.425,34.534,35.193,35.856
Madagascar,MDG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,91.43569,..,89.03413,..,86.63257,..,84.23101,74.62477,..,72.22321
Madagascar,MDG,Population density (people per sq. km of land area),EN.POP.DNST,27.88532345,28.73347491,29.59716271,30.47823022,31.38352306,32.31449427,33.27423565,41.62250945,42.71383981,43.83283087
Madagascar,MDG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.217513909,1.435847602,1.313161574,1.324757325,1.248226672,1.071941549,0.977431205,0.652799352,0.604796547,0.594003322
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.938,58.57,58.892,59.491,60.149,60.57,61.315,64.255,64.339,64.997
Malawi,MWI,Access to electricity (% of population),EG.ELC.ACCS.ZS,4.800000191,5.139520168,5.53415966,6.199999809,6.900000095,6.696063042,3.653227329,11.89999962,10.80000019,11
Malawi,MWI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.063464729,0.059509595,0.057882822,0.061823475,0.061915142,0.059822911,0.059767621,0.051389838,0.054607897,0.064588319
Malawi,MWI,Forest area (% of land area),AG.LND.FRST.ZS,32.68667798,32.24119644,31.79571489,31.35023335,30.9047518,30.45927026,30.01378871,26.44993636,26.00445482,25.55897327
Malawi,MWI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,950,900,910,950,1010,1040,1100,1490,1390,1430
Malawi,MWI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,23.6,23.8,24.6,24,22.5,20.8,15.4,16,16.1
Malawi,MWI,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,39.09,42.82,32.57,37.7,38.94,34.14,46.13,102.82,99.41,97.77
Malawi,MWI,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,15.1,14.7,14.2,13.6,13,12.5,12,10,9.7,9.5
Malawi,MWI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.036,5.993,5.96,5.942,5.93,5.91,5.841,4.612,4.452,4.309
